user_id,poi_id,timestamp,norm_time,poi_catid,latitude,longitude,trajectory_id,worker_trajectory_id
1301,4652,1103385600,0.9523809523809517,20,35.2372325,-80.7371183,1301_1,4652_1
787,4624,1124380800,0.6666666666666714,68,36.1474201669,-115.155556596,787_1,4624_1
2815,4686,1130688000,0.0952380952380949,4,43.036003,-89.414928,2815_1,4686_1
2815,4659,1130860800,0.3809523809523867,10,43.0728191,-89.395561,2815_1,4659_1
2815,3930,1132156800,0.5238095238095255,102,36.1740973156,-115.145109872,2815_1,3930_1
2815,4768,1132761600,0.5238095238095255,13,36.1046092,-115.1760289,2815_1,4768_1
2815,4916,1132761600,0.5238095238095255,102,36.1129302794,-115.169968853,2815_1,4916_1
2815,4772,1132848000,0.6666666666666714,11,36.1131604088,-115.17640885,2815_1,4772_1
2815,4773,1132934400,0.8095238095238102,102,36.1102503133,-115.171666064,2815_1,4773_1
2815,3907,1133193600,0.2380952380952408,68,36.1712504731,-115.146263887,2815_1,3907_1
2815,4774,1133193600,0.2380952380952408,12,36.12433,-115.170284,2815_1,4774_1
2815,4665,1133452800,0.6666666666666714,8,43.0768356,-89.3833003,2815_1,4665_1
2815,4667,1133452800,0.6666666666666714,56,43.076198,-89.3764925,2815_1,4667_1
2815,4668,1133452800,0.6666666666666714,10,43.0753053256,-89.3903661594,2815_1,4668_1
2815,4683,1133452800,0.6666666666666714,96,43.0819549,-89.3794332,2815_1,4683_1
2815,2933,1133625600,0.9523809523809561,0,43.083424,-89.47598,2815_1,2933_1
2815,4682,1133625600,0.9523809523809561,126,43.0764792,-89.3998682,2815_1,4682_1
2815,352,1133884800,0.3809523809523867,20,43.090642,-89.485169,2815_1,352_1
2815,379,1133884800,0.3809523809523867,13,43.09242,-89.3518969,2815_1,379_1
2815,2838,1133884800,0.3809523809523867,1,43.067141,-89.414181,2815_1,2838_1
2815,2862,1133884800,0.3809523809523867,70,43.075014,-89.390617,2815_1,2862_1
2815,2869,1133884800,0.3809523809523867,0,43.075159,-89.396178,2815_1,2869_1
2815,2877,1133884800,0.3809523809523867,58,43.074475,-89.393396,2815_1,2877_1
2815,2887,1133884800,0.3809523809523867,8,43.0745706,-89.3940617,2815_1,2887_1
2815,2893,1133884800,0.3809523809523867,96,43.0728256377,-89.3845476955,2815_1,2893_1
2815,2895,1133884800,0.3809523809523867,28,43.0741441325,-89.3955963625,2815_1,2895_1
2815,2896,1133884800,0.3809523809523867,72,43.07243,-89.38434,2815_1,2896_1
2815,2968,1133884800,0.3809523809523867,85,43.0678314,-89.4003925,2815_1,2968_1
2815,2972,1133884800,0.3809523809523867,2,43.070715,-89.383068,2815_1,2972_1
2815,4679,1133884800,0.3809523809523867,70,43.0750405,-89.3891508,2815_1,4679_1
2815,4684,1133884800,0.3809523809523867,0,43.067439,-89.4129202,2815_1,4684_1
